职位,薪资,公司,公司信息,公司地址,地区,工作经验,学历,人数,时间,岗位信息
['大数据平台架构师'],['2.5-4万/月'],['盛趣信息技术（上海）有限公司'],['民营公司| 500-1000人| 互联网/电子商务 网络游戏'],['上班地址 : 海趣路58号1号楼'],['上海-浦东新区'],['5-7年工作经验'],['本科'],['1人'],['2019-09-12'],
['大数据开发工程师（数仓开发）'],['1.1-1.8万/月'],['拙思信息科技（上海）有限公司'],['民营公司| 50-150人| 计算机软件'],['上班地址 : 嘉定区 安亭 于田大厦'],['上海-嘉定区'],['3-4年工作经验'],['本科'],['6人'],['2019-09-12'],
['大数据技术支持'],['0.7-1万/月'],['深圳市德科信息技术有限公司'],['合资| 1000-5000人| 计算机软件 计算机服务(系统、数据服务、维修)'],['上班地址 : 科韵路信息港'],['广州-天河区'],['本科'],[],['1人'],['2019-09-12'],
['大数据开发工程师'],['1.5-2万/月'],['重庆商勤科技有限公司'],['民营公司| 50-150人| 计算机软件 环保'],['上班地址 : 盘溪七支路永辉总部大楼24楼（重庆市中医院对面）'],['重庆-江北区'],['5-7年工作经验'],['本科'],['5人'],['2019-09-12'],
[],[],[],[],[],[],[],[],[],[],
['大数据开发工程师'],['1.5-2万/月'],['上海邮乐网络技术有限公司'],['外资（非欧美）| 500-1000人| 互联网/电子商务'],['上班地址 : 上海市浦东新区德平路289号浦东邮政大厦9楼'],['上海-浦东新区'],['3-4年工作经验'],['大专'],['2人'],['2019-09-12'],
['大数据处理开发工程师'],['0.8-1万/月'],['亿达信息技术有限公司成都分公司'],['民营公司| 1000-5000人| 计算机软件'],['上班地址 : 天府软件园A区5栋1楼'],['成都-高新区'],['1年工作经验'],['大专'],['1人'],['2019-09-12'],
['大数据架构师'],['2.5-3万/月'],['江苏西格数据科技有限公司'],['民营公司| 50-150人| 计算机软件 汽车及零配件'],['上班地址 : 星湖街328号创意产业园5期9栋201'],['苏州-工业园区'],['5-7年工作经验'],['本科'],['1人'],['2019-09-12'],
['大数据平台开发工程师'],['1.5-3万/月'],['久远谦长（上海）企业管理咨询有限公司'],['民营公司| 150-500人| 专业服务(咨询、人力资源、财会)'],['上班地址 : 港汇一座4803室'],['上海-徐汇区'],[],[],['若干人'],['2019-09-12'],大数据平台开发工程师【职位描述】：* 负责大数据中间件产品研发* 负责大数据分析平台软件的研究和开发* 负责数据仓库产品的研究和开发【任职资格】：* 计算机科学、应用数学、统计学、经济学、物理学、天文学、商业分析、信息系统、数据科学或相关专业本科或以上学历（应届毕业生或工作时间小于2年）* 优秀的学习能力与发现、分析并解决问题的能力* 良好的团队合作精神与沟通能力【技能要求】：* 具备良好的口头表达能力* JAVA基础扎实，有相关开发或者实习经验，熟悉IO、多线程、MQ、数据结构与设计模式等* 精通Hadoop/Hive/Hbase，对Hadoop、Hive、Storm、Spark等源码有研究者优先* 有分布式监控、搜索、调度、部暑其中一项经验优先* 熟悉分布式、缓存、消息机制，常用的DAL/ORM框架和设计模式
['技术经理（Java/大数据方向）'],['2-2.5万/月'],['广州智能科技发展有限公司'],['民营公司| 50-150人| 计算机软件 互联网/电子商务'],['上班地址 : 广州市天河区翰景路1号金星大厦701'],['广州'],['5-7年工作经验'],['本科'],['1人'],['2019-09-12'],
['java大数据实习生J'],['4.5-6千/月'],['河北臻龙科技有限公司'],['民营公司| 150-500人| 计算机软件'],['上班地址 : 裕华区槐安东路东二环369号仁祥大厦12层'],['石家庄'],['大专'],[],['3人'],['2019-09-12'],
['知名医药大数据企业招临床合规总监'],['4.8-6.4万/月'],['湛熙企业管理咨询（上海）有限公司'],['民营公司| 50-150人| 专业服务(咨询、人力资源、财会)'],['上班地址 : 北京朝阳区'],['北京-朝阳区'],[],[],['1人'],['2019-09-12'],
['大数据开发工程师'],['0.6-1万/月'],['汕头市同行网络科技有限公司'],['民营公司| 50-150人| 计算机软件 互联网/电子商务'],['上班地址 : 广东省汕头市高新区科技中路13号嘉泽中心大厦第十三层'],['汕头'],['1年工作经验'],['大专'],['2人'],['2019-09-12'],
['大数据项目经理'],['15-30万/年'],['广州迅易科技有限公司'],['民营公司| 50-150人| 计算机服务(系统、数据服务、维修) 计算机软件'],['上班地址 : 新港东路1168号环汇商业广场北塔1203'],['广州-海珠区'],['3-4年工作经验'],['本科'],['1人'],['2019-09-12'],
['大数据开发工程师'],['1-1.5万/月'],['武汉飞猫环球商贸有限公司'],['民营公司| 150-500人| 互联网/电子商务 贸易/进出口'],['上班地址 : 光谷软件园A7栋17楼'],['武汉-洪山区'],['3-4年工作经验'],['本科'],['1人'],['2019-09-12'],
['金融大数据事业部销售经理'],['3-8千/月'],['广东易飞科技发展有限公司'],['民营公司| 少于50人| 计算机服务(系统、数据服务、维修) 通信/电信/网络设备'],['上班地址 : 天河区工业园建业路华翠街54-56号粤和楼二楼208室'],['广州'],['1年工作经验'],['大专'],['1人'],['2019-09-12'],
['大数据（数据建模）'],['2-2.6万/月'],['星云海数字科技股份有限公司'],['民营公司| 10000人以上| 互联网/电子商务'],['上班地址 : 汉阳龙阳大道67号'],['武汉'],['3-4年工作经验'],['本科'],['1人'],['2019-09-12'],
['大数据分析工程师'],['0.8-1万/月'],['郑州郑大信息技术有限公司'],['民营公司| 150-500人| 计算机软件'],['上班地址 : 郑州'],['郑州-高新区'],['3-4年工作经验'],['本科'],['3人'],['2019-09-12'],
['链家+高提成+大数据平台+快速签单+高收入'],['0.4-2万/月'],['武汉链家宏业房地产经纪有限公司'],['民营公司| 10000人以上| 房地产 中介服务'],['上班地址 : 四新南路新城璟悦城小区北门商铺3-17链家'],['武汉-汉阳区'],['无工作经验'],['大专'],['15人'],['2019-09-12'],
['大数据开发工程师'],['0.8-1.5万/月'],['广州城市信息研究所有限公司'],['民营公司| 150-500人| 计算机软件'],['上班地址 : 广州市天河软件园建中路66号佳都商务大厦东座3楼'],['广州'],['3-4年工作经验'],['本科'],['1人'],['2019-09-12'],
['大数据开发工程师'],['1.5-2.5万/月'],['上海华钦信息科技股份有限公司'],['上市公司| 1000-5000人| 计算机软件 计算机服务(系统、数据服务、维修)'],['上班地址 : 2号线金科路地铁站'],['上海'],['2年工作经验'],['本科'],['5人'],['2019-09-12'],
['大数据产品经理-公安行业'],['1.5-2万/月'],['广州金越软件技术有限公司'],['民营公司| 50-150人| 计算机软件'],['上班地址 : 五山路248号金山大厦南塔12层'],['广州-天河区'],['3-4年工作经验'],['本科'],['1人'],['2019-09-12'],
['大数据开发工程师'],['1.5-2万/月'],['深圳市福特智能科技有限公司'],['民营公司| 50-150人| 电子技术/半导体/集成电路 机械/设备/重工'],['上班地址 : 龙华大浪龙华路民生工业园A栋A座4楼一卡通'],['深圳-龙华新区'],[],[],['2人'],['2019-09-12'],
['大数据工程师'],['0.8-1万/月'],['深圳市鸿泰创新高科技有限责任公司'],['民营公司| 50-150人| 金融/投资/证券 计算机软件'],['上班地址 : 笋岗地铁站附近'],['深圳-福田区'],['本科'],[],['3人'],['2019-09-12'],"岗位职责：1、负责大数据平台的整体架构规划、设计，使系统体系化并具有技术前瞻；3、负责数据采集，清洗，存储，计算、应用的整体架构；4、负责大数据平台的运维管理，做到高可用；5、解决大数据应用在项目上碰到的技术难点和问题；任职资格：1. 计算机科学与技术、软件工程、数学与应用数学等计算类专业优先；2、熟悉java/python/scala,并至少熟悉使用其中一种；3、有很强的分析复杂问题和解决复杂问题的能力，有强烈的责任心和使命感；4、扎实的计算机基础，熟悉常用的数据结构和算法； 5、具备良好的沟通和表达能力，自我驱动，具备团队合作精神，有责任心并具有一定的抗压能力；福利待遇：1、合理优厚的薪金：薪资、补贴、年终奖、优秀员工激励奖金等；2、合法完善的假期：带薪年假、带薪病假及法定假期；3、丰富多彩的活动：员工聚餐、年度体检、节日晚会、旅游活动、运动会、优秀员工表彰活动等；4、优厚的福利体系：养老保险、医疗保险+补充医疗保险、生育保险、工伤保险、失业保险及住房公积金；"
